Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Precious_Achiuwa,Mia,F,21.43,31,14.2,29.7,19.4,16.1,70,0.529,131,0.573,0,0,0.573,0.578,6,4,15.6,0.6,6.9,0.39,0.55,1,6.9,106.1,98.2
Jaylen_Adams,Mil,G,24.81,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.125,0.3,0.4,8.7,0.3,12.7,0,0,0,5.1,,
Steven_Adams,Nor,C,27.6,27,28.2,58.6,12.9,20.1,62,0.468,155,0.606,1,0,0.603,0.592,8,8.9,17.5,2.1,10.2,0.96,0.56,1.7,7.5,118.7,110.5
Bam_Adebayo,Mia,C-F,23.6,29,33.9,70.5,24.2,16.5,167,0.844,367,0.575,6,0.333,0.574,0.637,19.6,9.5,15.7,5.5,28.2,0.93,1,3.03,11.9,120.2,103
LaMarcu_Aldridge,San,C-F,35.6,18,26.7,55.6,22.3,6.4,21,0.762,158,0.525,67,0.358,0.529,0.542,14.1,4.3,8.4,1.9,11.4,0.39,0.89,0.89,7.3,107.3,108.9
Ty-Shon Alexander,Pho,G,22.61,3,2.8,5.8,16.2,0,0,0,2,0,1,0,0,0,0,0.3,6.7,0.3,13.9,0,0,0,0,,
Nickeil Alexander-Walker,Nor,G,22.48,25,17.9,37.4,22.5,12.7,33,0.788,104,0.529,88,0.273,0.474,0.504,8.3,2.5,7.7,1.8,14.7,1.04,0.32,1.2,7.5,99.7,106.8
Grayson Allen,Mem,G,25.38,21,24.3,50.6,16,11,38,0.895,46,0.413,108,0.407,0.552,0.597,9.7,3,6.6,2.1,11.8,1.1,0.14,1,6.5,116.5,110.4
Jarrett Allen,Bro,C,22.84,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,22,1.7,8.2,0.58,1.58,1.83,8.8,134.9,107.7
Jarrett Allen,Cle,C,22.84,18,27.2,56.7,18.2,12,86,0.721,141,0.681,4,0.25,0.672,0.703,14.3,8.6,17.6,1.7,10.3,0.39,1.72,1.39,8.7,133.2,112
Al-Farouq Aminu,Orl,F,30.43,4,12.1,25.1,13.5,26.3,5,0.6,5,0.8,4,0.25,0.611,0.625,3.5,3.5,14.9,1.5,17.6,1,0.5,1,8.7,107.4,104
Kyle Anderson,Mem,F-G,27.43,26,27.9,58.1,19.8,11.2,70,0.771,163,0.528,107,0.402,0.557,0.59,13.7,6.2,12,3.6,18.5,1.08,0.69,1.46,9.7,116.8,107.4
Giannis Antetokounmpo,Mil,F,26.22,30,33.8,70.3,33.4,14,315,0.654,437,0.625,118,0.28,0.581,0.613,28.4,11.9,18.4,5.9,28.1,1.23,1.3,3.77,14.9,117.4,100
Kostas Antetokounmpo,Lal,F,23.26,1,7.7,16,22.6,50,0,0,2,0,0,0,0,0,0,4,29.1,0,0,0,2,2,0,0,87.1
Thanasis Antetokounmpo,Mil,F,28.6,21,8.8,18.3,12.9,29.9,11,0.545,28,0.679,7,0.286,0.629,0.628,2.4,2,12.2,0.7,10.1,0.24,0.19,0.81,6.8,107.5,96.7
Carmelo Anthony,Por,F,36.74,29,25.2,52.4,23.4,7.5,80,0.838,207,0.401,128,0.375,0.463,0.509,13,3.4,7.3,1.3,7.6,0.86,0.72,1.03,6.1,104.4,111
Cole Anthony,Orl,G,20.78,25,26.7,55.6,22.1,15.1,55,0.836,186,0.398,83,0.325,0.426,0.469,11,4.4,8.6,3.8,21.4,0.68,0.44,2.08,8.5,95.1,106.8
OG Anunoby,Tor,F,23.61,20,33.8,70.4,16.6,13,53,0.755,95,0.579,109,0.404,0.593,0.62,14.1,6,9.7,1.5,6.5,1.8,0.6,1.7,5.9,114,105.6
Ryan Arcidiacono,Chi,G,26.92,14,11.1,23,13,6.4,7,0.857,17,0.529,24,0.292,0.476,0.51,3.2,2,10,1.5,17.4,0.29,0,0.21,7.7,116.6,106.7
